rname,raddress,roverall_raw,rfood_raw,rservice_raw,rvalue_raw,ratmo_raw,cname,mname,roverall,rfood,rservice,rvalue,ratmo
Tucci Ristorante,"220 A Ave, Ste 108, Lake Oswego, OR 97034-3195",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,calamari fritti served with our house made aiolis,90,90,90,80,90
Rodeo Steakhouse & Grill,"1200 NW Garden Valley Blvd, Roseburg, OR 97471-1925",3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Stuffed Mushrooms,70,70,80,80,70
Gramma's Corner Kitchen,"10800 SE McLoughlin Blvd, Milwaukie, OR 97222-7435",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,American,,80,90,90,#VALUE!,70
Umami Sushi & Asian Cuisine,"62 E Main St, Ashland, OR 97520-1814",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Edamame,80,90,90,80,80
Lake Theater & Cafe,"106 N State St, 106 N State St, 97034, Lake Oswego, Clackamas County, Oregon, Lake Oswego, OR 97034",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Pizza,,90,80,80,80,#VALUE!
Rodeo Steakhouse & Grill,"1200 NW Garden Valley Blvd, Roseburg, OR 97471-1925",3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Tater Skins,70,70,80,80,70
Vault 244 Bistro,"244 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Gluten Free Options,,90,90,90,80,90
Tacho's Mexican Restaurant,"515 Molalla Ave, Oregon City, OR 97045-2635",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,80,70,80,80
Sushi Okalani,"109 1st St, Hood River, OR 97031-2379",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Sushi,,90,90,90,80,80
Original Breakfast,"3225 Santiam Hwy SE, Albany, OR 97322-5263",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,American,,80,80,80,80,70
Simon's at the Columbia Gorge Hotel,"4000 Westcliff Dr, Hood River, OR 97031-8711",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Fish & Chips,80,80,80,80,90
Sixth Street Bistro & Loft,"509 Cascade Ave Ste A, Hood River, OR 97031-2060",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,90,90,90,80,80
Celilo Restaurant and Bar,"16 Oak St, Hood River, OR 97031-2310",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Pork,90,90,90,80,90
Dino's Ristorante Italiano,"404 SE Jackson St, Roseburg, OR 97470-4922",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Calamari Fritte,90,90,90,80,80
Biscuits Cafe,"4200 Mercantile Dr, No. 790, Lake Oswego, OR 97035-3597",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Cafe,,80,90,90,80,70
Momiji,"641 Hickory St NW, Ste 120, Albany, OR 97321-1762",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,,90,90,80,80,90
Ginza Japanese Restaurant,"2218 Santiam Hwy SE, Albany, OR 97322-5205",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Japanese,,90,90,80,80,#VALUE!
thai basil,"6328 Meadows Rd, Lake Oswego, OR 97035-3280",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,90,80,80,80
Five Spice Seafood + Wine Bar,"315 1st St, Suite 201, Lake Oswego, OR 97034-3262",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,American,,80,90,80,80,90
Mi Famiglia Wood Oven Pizzeria,"701 Main St, Oregon City, OR 97045-1800",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Italian,,90,90,80,80,80
Redland Cafe,"18305 S Redland Rd, Oregon City, OR 97045-8063",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Cafe,,80,90,80,80,#VALUE!
Brix Grill,"527 SE Jackson St, Roseburg, OR 97470-4936",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,American,,90,90,90,80,90
China Gorge Restaurant,"2680 Old Columbia River Dr, Hood River, OR 97031-9523",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,,China Gorge Wrap (2),80,90,90,#VALUE!,70
Sybaris,"442 1st Ave W, Albany, OR 97321-2228",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,ui_bubble_rating bubble_45,Vegetarian Friendly,,90,90,100,#VALUE!,90
Mi Cielo Mexican Restaurant,"950 SW Veterans Way Ste 102, Redmond, OR 97756-2553",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Dos Equis Amber,90,90,90,80,80
A Cena Ristorante y Enoteca,"7742 SE 13th Ave, Portland, OR 97202-6348",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,,Arancini,90,90,90,#VALUE!,90
China Gorge Restaurant,"2680 Old Columbia River Dr, Hood River, OR 97031-9523",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,,Fried Shrimp,80,90,90,#VALUE!,70
Tacho's Mexican Restaurant,"515 Molalla Ave, Oregon City, OR 97045-2635",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,1 Avocado Tostada,80,80,70,80,80
Frankie's Restaurant,"641 Hickory St NW Ste 160, Albany, OR 97321-1768",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,90,80,80,80
Dino's Ristorante Italiano,"404 SE Jackson St, Roseburg, OR 97470-4922",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Clams and Mussels Brodetto,90,90,90,80,80
Mazatlan Mexican Restaurant,"1302 S Highway 97, Redmond, OR 97756-9575",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Taquitos,90,80,90,80,90
Oishi,"511 SW 6th St, Redmond, OR 97756-2702",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Japanese,,90,90,90,80,90
Rodeo Steakhouse & Grill,"1200 NW Garden Valley Blvd, Roseburg, OR 97471-1925",3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Crunchy Pickle Spears,70,70,80,80,70
The Verdict Bar And Grill,"110 8th St, Oregon City, OR 97045-1806",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,Seared Ahi Tuna*,80,80,80,80,#VALUE!
Ginza Japanese Restaurant,"2218 Santiam Hwy SE, Albany, OR 97322-5205",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,,90,90,80,80,#VALUE!
The Open Range,"17250 Highway 66, About 30 minutes east of Ashland, Ashland, OR 97520-9406",5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,ui_bubble_rating bubble_50,,Antipasto Plate,100,90,100,#VALUE!,100
Stanford's Restaurant and Bar,"14801 Kruse Oaks Blvd, Lake Oswego, OR 97035-8600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Buttermilk Fried Chicken Strips,80,80,80,80,80
Rivershore Bar & Grill,"1900 Clackamette Dr, Oregon City, OR 97045-1052",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Oregon Sunrise*,80,80,80,80,80
Sam City Fusion,"2180 Pacific Blvd SE, Albany, OR 97321-5271",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,80,80,80,80
Broder Ost,"102 Oak St, Suite 100, Hood River, OR 97031-2312",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,,,90,90,90,80,#VALUE!
China Gorge Restaurant,"2680 Old Columbia River Dr, Hood River, OR 97031-9523",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,,BBQ Pork (8oz),80,90,90,#VALUE!,70
Christie's Kitchen,"614 NW Cedar Ave, Redmond, OR 97756-1754",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,80,90,80,80
The Mesquitery,"1219 12th St, Hood River, OR 97031-1603",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Nachos,90,80,80,80,80
"Hearsay Restaurant, Lounge, & Garden","40 S 1st St, Ashland, OR 97520-2738",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,American,,90,90,80,80,#VALUE!
five-0-three restaurant & bar,"21900 Willamette Dr, West Linn, OR 97068-3280",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,pommes frites,80,80,90,80,80
Calapooia Brewing Company,"140 NE Hill St, Albany, OR 97321-3002",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,El Fuego,80,80,80,80,80
Stanford's Restaurant and Bar,"14801 Kruse Oaks Blvd, Lake Oswego, OR 97035-8600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Spicy Ahi Roll*,80,80,80,80,80
The Mesquitery,"1219 12th St, Hood River, OR 97031-1603",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Basket of Wings,90,80,80,80,80
The Mesquitery,"1219 12th St, Hood River, OR 97031-1603",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Sizzlin Shrimp,90,80,80,80,80
La Sen Vietnameese Grill,"22000 Willamette Dr, Suite 101, West Linn, OR 97068-3275",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,Vegetarian Friendly,,90,90,90,80,#VALUE!
Soup 2 Nuts,"457 SW 6th St, Redmond, OR 97756-2204",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,American,,90,90,90,80,60
Karen's Coffee Cup,"2445 NE Diamond Lake Blvd, Roseburg, OR 97470-3644",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Cafe,,80,80,90,80,70
Gubanc's,"16008 Boones Ferry Rd, Lake Oswego, OR 97035-4304",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Soup Board,90,80,90,80,80
Gubanc's,"16008 Boones Ferry Rd, Lake Oswego, OR 97035-4304",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Breaded Chicken Strips,90,80,90,80,80
Double Mountain Brewery,"8 4th St Ste 204, Hood River, OR 97031-2123",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,The Jersey Sub,90,90,90,80,80
Rodeo Steakhouse & Grill,"1200 NW Garden Valley Blvd, Roseburg, OR 97471-1925",3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Sampler Platter,70,70,80,80,70
Omar's Fresh Seafood and Steaks,"1380 Siskiyou Blvd, Ashland, OR 97520-2333",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Seafood,,80,80,80,80,70
One Street Down Cafe,"124 SW 7th St, Redmond, OR 97756-2110",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Lumberjack Breakfast,90,90,90,80,90
Original Pancake House,"8601 SW 24th Ave, Portland, OR 97219-4034",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Dutch Baby,80,90,80,80,70
Ami Japanese Restaurant,"634 SE Cass Ave, Roseburg, OR 97470-3155",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,Japanese,,80,80,70,80,60
Bette's Place,"416 Oak St, Hood River, OR 97031-2065",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,90,90,80,80
Five Spice Seafood + Wine Bar,"315 1st St, Suite 201, Lake Oswego, OR 97034-3262",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,,80,90,80,80,90
Thai Pepper,"84 N Main St, Ashland, OR 97520-2782",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,80,80,80
Sushi Valley,"419 Beavercreek Rd, Oregon City, OR 97045-4101",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,,80,80,80,80,#VALUE!
White Buffalo Wine Bar and Bistro,"4040 Westcliff Dr, Hood River, OR 97031-8711",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,80,90,80,80
Carino's Italian,"1825 14th Ave SE, Albany, OR 97322-8502",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Johnny's Signature Sicilian Firesticks,80,80,80,80,70
Mi Cielo Mexican Restaurant,"950 SW Veterans Way Ste 102, Redmond, OR 97756-2553",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Corona,90,90,90,80,80
The Pig And Pound Public House,"427 SW 8th St, Redmond, OR 97756-2209",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,80,90,80,80,80
Olive Garden,"6355 Meadows Rd, Lake Oswego, OR 97035-3263",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,90,90,80,80
Taj Indian Cuisine,"31 Water St, Ashland, OR 97520-1859",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Paneer Pakora,80,80,80,80,80
Tinos Tacos,"792 NW Garden Valley Blvd, Roseburg, OR 97471-1919",4.5,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,null,null,Spanish,,90,100,90,#VALUE!,#VALUE!
Parrott House,"1851 SE Stephens St, Roseburg, OR 97470-4058",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,American,,80,80,80,80,#VALUE!
Thai O Restaurant,"974 SW Veterans Way, Fred Meyer Retail Center, Redmond, OR 97756-2564",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Asian,,80,80,70,80,70
Oswego Grill,"7 Centerpointe Dr, Lake Oswego, OR 97035-8601",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Seafood,,90,90,90,80,90
Crazy Pepper,"103 4th St, Hood River, OR 97031-2072",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Beau Dip,80,80,90,80,80
Celilo Restaurant and Bar,"16 Oak St, Hood River, OR 97031-2310",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Squash Risotto,90,90,90,80,90
Oswego Grill,"7 Centerpointe Dr, Lake Oswego, OR 97035-8601",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Ahi Tuna Poke*,90,90,90,80,90
Crazy Pepper,"103 4th St, Hood River, OR 97031-2072",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Jalapeno Poppers (4),80,80,90,80,80
Trillium Cafe,"207 Oak St, Hood River, OR 97031-2027",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,90,90,80,80
Thai Pepper,"84 N Main St, Ashland, OR 97520-2782",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Chicken Sate with Peanut Sauce,80,80,80,80,80
Sybaris,"442 1st Ave W, Albany, OR 97321-2228",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,ui_bubble_rating bubble_45,,"Spicy chicken wing soup, blue cheese & celery root ravioli",90,90,100,#VALUE!,90
Three River's Grill,"601 Oak St, Hood River, OR 97031-1811",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Crab and Salmon Cakes,80,80,80,80,90
Rivershore Bar & Grill,"1900 Clackamette Dr, Oregon City, OR 97045-1052",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Country Fried Steak*,80,80,80,80,80
PizzAmore,"2212 Santiam Hwy SE, Albany, OR 97322-5205",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,Pizza,,90,90,90,80,#VALUE!
Kowloon Restaurant,"2686 NE Diamond Lake Blvd, Roseburg, OR 97470-3647",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Chicken Fried Steak,80,80,80,80,70
Brickhouse Restaurant,"412 SW 6th St, Redmond, OR 97756-2203",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Dungeness Crab Cakes,80,80,90,80,80
Chart House,"5700 SW Terwilliger, Portland, OR 97239",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Hummus Trio,80,80,90,80,90
Bugatti's Oregon City,"334 Warner Milne Rd, Oregon City, OR 97045-4046",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Caprese,80,80,90,80,80
Bugatti's Ristorante,"18740 Willamette Dr, Suite A, West Linn, OR 97068-1719",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,80,80,80
7 Seven Thai Restaurant,"764 NW Garden Valley Blvd, Suite 101, Roseburg, OR 97471-2295",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,Vegetarian Friendly,,80,90,90,80,#VALUE!
PizzAmore,"2212 Santiam Hwy SE, Albany, OR 97322-5205",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,,,90,90,90,80,#VALUE!
Blac-N-Bleu Bistro,"1700 NW Garden Valley Blvd, Ste 101, Roseburg, OR 97471-1636",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,,80,80,80,80,70
Simon's at the Columbia Gorge Hotel,"4000 Westcliff Dr, Hood River, OR 97031-8711",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Shrimp Poppers,80,80,80,80,90
Thai Pepper,"84 N Main St, Ashland, OR 97520-2782",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Chicken Curry Wonton,80,80,80,80,80
Martino's Restaurant & Bar,"58 E Main St, Ashland, OR 97520-1814",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Italian,,80,80,80,80,80
Seventh Street Brew House,"855 SW 7th St, Redmond, OR 97756-3106",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Garage Doors leading to heated deck,80,80,80,80,80
Seasons & Regions Seafood Grill,"6660 SW Capitol Hwy, Portland, OR 97219-1915",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Seafood,,90,90,90,80,80
Brian's Pourhouse,"606 Oak St, Hood River, OR 97031-1812",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,International,,80,80,90,80,90
Linn City Pub,"19389 Willamette Dr, West Linn, OR 97068-2000",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,80,80,90,80,80
Aji Tram Restaurant and Bar,"4477 Lakeview Blvd, Lake Oswego, OR 97035-5556",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,,90,90,90,80,90
New York City Sub Shop,"946 SE Veterans Way, Redmond, OR 97756",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,,90,90,80,80,#VALUE!
